carat,cut,color,depth,table,price,x,y,z
0.3,Good,F,61.1,61,682,4.29,4.32,2.63
0.72,Ideal,H,62,56,2443,5.8,5.74,3.58
1.71,Premium,J,62.9,58,8848,7.64,7.58,4.79
1.01,Premium,E,59.2,59,7287,6.67,6.6,3.93
0.52,Ideal,D,62.7,56,1720,5.17,5.14,3.23
0.25,Very Good,E,60.9,59,575,4.03,4.11,2.48
0.76,Premium,H,59.8,57,2227,5.93,5.91,3.54
1.2,Very Good,H,62,57,6177,6.77,6.81,4.21
0.42,Ideal,G,61.4,54,962,4.81,4.9,2.98
0.5,Very Good,G,61.9,59,1603,5.06,5.08,3.14
0.9,Premium,D,59,61,3205,6.32,6.28,3.72
0.3,Ideal,H,61.3,56,675,4.33,4.31,2.65
0.3,Very Good,G,61.8,59,684,4.22,4.26,2.62
0.5,Good,G,63.8,56,1715,5.03,5.06,3.22
2.28,Very Good,H,63.3,54,12907,8.36,8.29,5.27
0.31,Very Good,E,63.4,55,698,4.33,4.31,2.74
0.72,Very Good,D,62.3,59,2612,5.67,5.73,3.55
1.14,Very Good,F,61.3,62,6194,6.71,6.77,4.13
0.32,Premium,G,58.1,59,1080,4.53,4.49,2.62
0.4,Very Good,G,62.9,57,699,4.69,4.72,2.96
1,Good,H,60.2,63,5668,6.43,6.47,3.88
0.71,Very Good,H,63,58,2709,5.64,5.72,3.58
0.37,Ideal,E,62.7,54,833,4.6,4.55,2.87
0.32,Premium,H,61.8,56,591,4.43,4.4,2.73
1.13,Premium,H,62.6,60,4256,6.68,6.62,4.16
0.7,Premium,F,59.5,61,1662,5.78,5.68,3.41
0.57,Premium,F,60.4,58,1247,5.4,5.37,3.25
1.39,Premium,G,62,56,8874,7.18,7.14,4.44
1.07,Premium,E,59.3,56,7670,6.71,6.69,3.97
0.51,Ideal,E,62.4,55,1443,5.14,5.09,3.19
1.5,Very Good,F,63.8,59,16116,7.17,7.25,4.6
0.34,Ideal,I,62.3,55,459,4.42,4.47,2.77
0.32,Ideal,G,62,57,1080,4.42,4.38,2.73
0.41,Very Good,G,61.5,58,899,4.76,4.8,2.94
0.24,Ideal,F,61.8,55,678,4,4.03,2.48
0.34,Ideal,G,62.5,53,895,4.47,4.49,2.8
1.07,Premium,I,60.7,58,4491,6.62,6.66,4.03
1.2,Premium,E,60.4,58,5779,6.95,6.89,4.18
0.31,Ideal,G,61.3,56,891,4.38,4.4,2.69
0.31,Ideal,G,60.9,56,687,4.4,4.43,2.69
0.32,Good,H,63.1,55,505,4.33,4.36,2.74
0.4,Very Good,G,62.7,59,702,4.67,4.71,2.94
0.35,Ideal,J,62.1,53,540,4.53,4.55,2.82
0.32,Premium,F,61.7,58,645,4.38,4.41,2.71
1.44,Ideal,D,63,55,10725,7.23,7.18,4.54
0.32,Premium,I,61,59,554,4.39,4.36,2.67
1.01,Premium,G,60.9,59,6968,6.59,6.54,4
1.24,Very Good,J,62.4,59.4,5783,6.81,6.89,4.27
1.04,Premium,D,62.3,59,8341,6.48,6.39,4.01
0.5,Good,D,57.8,62,2065,5.23,5.28,3.04
2.07,Ideal,G,62,55,17095,8.23,8.13,5.07
0.52,Premium,H,61.6,57,1138,5.2,5.15,3.19
0.57,Premium,D,61.7,60,2047,5.32,5.28,3.27
0.33,Very Good,G,61.9,58,752,4.39,4.43,2.73
0.91,Ideal,E,60.8,56,3898,6.29,6.25,3.81
1,Very Good,F,60.5,60,5119,6.38,6.45,3.88
1.43,Ideal,H,62,55,11498,7.21,7.28,4.49
1.7,Ideal,I,60.1,57,12209,7.8,7.77,4.68
0.41,Ideal,G,61.9,55,1238,4.77,4.79,2.96
0.3,Ideal,F,62,55.1,499,4.29,4.32,2.67
0.61,Ideal,F,61.4,56,3248,5.44,5.49,3.36
0.71,Ideal,I,62.1,56,2327,5.72,5.68,3.54
0.7,Fair,G,65.3,61,2710,5.58,5.48,3.61
1.04,Premium,I,62,57,3774,6.53,6.47,4.03
1.02,Ideal,I,62.1,56,3713,6.44,6.39,3.98
1.01,Premium,G,60.1,58,3173,6.54,6.39,3.89
1.08,Premium,F,62.6,56,4488,6.61,6.55,4.12
0.3,Ideal,G,62.1,54,863,4.3,4.33,2.68
0.37,Premium,G,58.4,59,817,4.76,4.69,2.76
0.51,Premium,D,60,58,2203,5.19,5.14,3.1
0.53,Ideal,E,61.6,55.6,2019,5.19,5.24,3.22
1.02,Premium,E,62.1,52,6854,6.55,6.49,4.05
0.71,Very Good,E,59.8,58,3112,5.78,5.82,3.47
1.2,Very Good,G,61.5,58,4443,6.83,6.85,4.21
0.33,Premium,I,62.1,58,891,4.43,4.39,2.74
0.45,Ideal,D,60.6,55,1027,4.99,4.97,3.02
0.24,Good,F,65.1,58,492,3.86,3.88,2.52
0.52,Very Good,I,61.9,56,1289,5.16,5.18,3.2
0.9,Good,F,63.2,61,3950,6.09,6.13,3.86
1.01,Very Good,G,61.9,59,5759,6.34,6.38,3.94
0.56,Premium,E,62.6,58,1930,5.23,5.28,3.29
0.7,Good,F,63.8,58,2919,5.61,5.58,3.57
0.59,Ideal,D,61.6,57,1743,5.41,5.44,3.34
0.31,Ideal,F,62.4,55,828,4.33,4.36,2.71
0.58,Very Good,E,61.5,58,1424,5.31,5.36,3.28
0.7,Good,E,63.2,57,2496,5.61,5.63,3.55
1,Ideal,J,62.1,56,3528,6.41,6.34,3.96
0.7,Premium,E,62.2,58,2800,5.6,5.66,3.5
0.36,Ideal,G,61.5,56,985,4.59,4.62,2.83
1.21,Premium,F,62.2,60,9419,6.75,6.72,4.19
0.3,Ideal,D,61,55,710,4.33,4.36,2.65
1.71,Premium,I,60.2,58,11104,7.79,7.75,4.68
1.01,Very Good,F,59.7,61,4899,6.49,6.55,3.89
1.11,Ideal,I,61.9,57,4457,6.66,6.62,4.11
1.02,Premium,G,61.5,59,6416,6.44,6.41,3.95
1.64,Very Good,J,62.5,58,7409,7.48,7.56,4.7
0.3,Ideal,F,61.7,58,886,4.3,4.32,2.66
0.3,Ideal,D,62,55,710,4.31,4.34,2.68
0.7,Good,E,63.3,60,2569,5.56,5.59,3.53
1.13,Ideal,F,61.8,57,5232,6.71,6.68,4.14
1.37,Ideal,G,62.3,54,13439,7.11,7.15,4.43
1.25,Ideal,H,61.2,57,5810,6.93,6.89,4.23
0.31,Ideal,D,62,54,683,4.35,4.36,2.7
0.4,Very Good,F,62.2,55,786,4.68,4.74,2.93
0.4,Premium,E,60.1,58,1125,4.76,4.72,2.85
2.15,Premium,G,59.7,60,13317,8.4,8.37,5.01
0.32,Premium,J,61.9,58,540,4.39,4.33,2.7
0.23,Very Good,D,61.3,59,530,3.91,3.99,2.42
0.28,Very Good,E,63.2,56,669,4.17,4.21,2.65
1.5,Premium,I,61.2,61,8736,7.34,7.3,4.48
0.53,Ideal,H,61.7,56,1678,5.21,5.23,3.22
0.59,Premium,E,60.1,59,2578,5.46,5.42,3.27
1.01,Premium,D,61.6,58,10797,6.44,6.39,3.95
1.5,Ideal,H,62.4,57,9104,7.29,7.33,4.56
0.42,Ideal,I,61,54,807,4.84,4.87,2.96
0.71,Ideal,I,62,54,2319,5.72,5.75,3.55
0.78,Ideal,E,62,55,3334,5.89,5.95,3.67
0.35,Very Good,F,62.3,56,909,4.53,4.57,2.83
0.71,Ideal,D,62,54,2934,5.77,5.74,3.57
0.31,Ideal,H,61.4,55,609,4.37,4.39,2.69
2.02,Ideal,J,62.7,54.2,12884,8.03,8.08,5.05
1.2,Premium,J,60.7,60,4514,6.88,6.92,4.19
0.8,Good,F,63.3,55,3116,5.87,5.92,3.73
0.55,Ideal,G,60.4,56,1854,5.38,5.31,3.23
0.4,Very Good,D,59.6,58,851,4.8,4.83,2.87
0.43,Very Good,I,60.9,55,730,4.89,4.99,3.01
