Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility
60,20,20.7,44.7,19.5,45.59,21.39,41.95,20.56666667,45.62666667,18.06,52.9,11.3,88.59,18.1,43.29,20.5,52.79,18.30666667,47.59,11.01666667,756.5333333,88.33333333,8.833333333,38.16666667
60,0,21.29,37.86333333,19.39,39.66333333,21.79,36.7,20.46333333,37.52666667,19.39,43.2,9.69,30.33333333,19.2675,32.095,22,39.22333333,19.6,38.82666667,8.35,761.8,70,3.5,40
80,0,21.39,35.79,19.29,37.7,22.76,34.29,21.32333333,34.73,18.42666667,43.82666667,9.845,24.75,19.2,29.2,22.39,37.29,19.46333333,35.5,6.866666667,762.3333333,69.66666667,3,35.66666667
40,0,19.03333333,41.82666667,18.53333333,41.29,18.1,43.79,15.89,47.53,15.39,51.03,5.5,99.9,15.56111111,40.13888889,19.59444444,51.06277778,15.1,46.76,5.133333333,769.5833333,92,4.833333333,23.16666667
60,30,21.7,46.63333333,20.7,45.9,22.32333333,44.79,21,47.96666667,19.6,56.54055556,8.8,99.9,18.76,45.2,20.46944444,53.18944444,18.29,51.86333333,8.633333333,757.5666667,95.66666667,6,55.33333333
50,0,21.84,42.745,19.76,45.43,24.06666667,39.72333333,21.6,40.218,20.79,49.79,9,53.19333333,21.2,36.5,22.87333333,46.9,21,45.59,8.8,745.5,89.33333333,4.333333333,24.33333333
100,30,20.2,40.72333333,18.39,41.2,21,39.79,20.69666667,40.56,17.89,50.16944444,3.09,92.3,18.97555556,37.76333333,20.81777778,44.13055556,18.16666667,42.66333333,2.6,736.05,96,1.5,35.5
110,0,22.46333333,39.26,21.29,39.53,22.7,37.7,21.2,38.62666667,20.92666667,44.69333333,8.463333333,39.8,20.66666667,32.79,24.03333333,38.36,20.32333333,38,9.216666667,753.3666667,71.33333333,3.666666667,40
160,0,17.39,37.03,16.39,37,17.79,37.2,16.29,36.4,16.12222222,51.7,1.2,96.56333333,16.2,31.18888889,20.13333333,41.24888889,15.6,35.62666667,0.166666667,760.5666667,89,2,53.33333333
110,30,21.7,44.29,20.26,44.86333333,21.79,42.76,21.6,42.86333333,18.79,72.538,5.866666667,87.76333333,19.7,43.43,21.6,47.03,18.6,44.9,5.433333333,752.9333333,95.66666667,1.666666667,37.66666667
50,0,21.89,42.06,21.2,40.76,20.79,44.4,18.92666667,42.36333333,18.725,50.92833333,3.23,98.93333333,16.98777778,38.89833333,20.81222222,47.985,16.5,46.36333333,4.083333333,754.7,87.83333333,5,28.16666667
50,0,24.6,39.36333333,27.82333333,32.66333333,26.2,37.29,24.79,38.06,23.1,42.03,25.83,1,24,36.59,23.79,40.59,23.5,41,20.36666667,752.8,48.83333333,3.166666667,40
100,0,21,39.12666667,18.7,41.46666667,20.35666667,37.93333333,20.92666667,35.5,18.79,49.03,5,78.96333333,18.39,31.7,20.79,37.59,17.46333333,35.33333333,4.55,755.95,74.5,4,40
370,0,19.16666667,39.06,17.56666667,39.23,19.76333333,39.29333333,18.1,35.82666667,17.7,50.5,2.466666667,76.4,17.39,31.29,19.89,39.43333333,17.5,37.6725,1.6,748.3333333,95,3.333333333,51.33333333
50,0,22.85666667,38.16333333,23.06666667,35.86333333,22.7,38.4,22,36.7,20.79,45.57,16.29333333,6.53,23.13333333,31.7,23.05714286,35.89857143,20.79,39.7,12.8,752.2,60,5,40
50,0,21.29,39.76,19.6,41.36333333,20.79,38.23,20.05,39.645,19.46333333,61.22333333,7.9,86.9,18.5,36.06,21.1,45.86,17.85666667,39.76666667,7.983333333,750.6666667,97,6.833333333,61.83333333
60,0,21.39,40.06,20.5,39.03,21.26,42.76,20.1,42,18.29,53.9,1.1,96.09,19.5,41,20.76,49.93333333,17.79,45.3175,0.566666667,764.2333333,96.66666667,2.333333333,40
50,0,21.2,44.79,20.7,43.93333333,20.7,44.43,20.92666667,45.16333333,17.89,63.54055556,9.726666667,87.89666667,18.29,45.14222222,17.89,49.2,17.1,47.59,9.833333333,759.2333333,80.66666667,10,40
